S No,College Name,Address,State,Contact No(s),E-Mail ID,Weblink
221,"Apollo Priyadarshanam Institute of Technology, Chennai","Tambaram - Kanchipuram Main Road , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"0442-4362183,24362184",info@apollopriyadarshanam.in,http://www.apollopriyadarshanam.in/
222,"Balaji Institute of Engineering & Technology - [BIET], Chennai","Thandalam , Office I. T. Highway, Near Thiruporur , Chennai - 603110 , Tamil Nadu ,India",Tamil Nadu,"044-27498544,9176898222",info@biet.net.in,http://www.bietedu.in/
223,"Chennai Institute of Technology - [CIT], Chennai","Sarathy Nagar, Kundrathur , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,8939917000,info@citchennai.net,http://www.chennaiinstituteoftechnology.com/
224,"Gopal Ramalingam Memorial Engineering College, Chennai","Rajeswari Nagar,Panapakkam, (Near) Padappai , Chennai - 601301 , Tamil Nadu ,India",Tamil Nadu,"044-27145540,Admission,Office,-,42044337,Admission,-,9444864288",grmenggcollege@gmail.com,http://www.grmenggcollege.org/
225,"Hindustan Institute of Maritime Training - [HIMT College], Chennai","11, Millers Road, Kilpauk , Chennai - 600010 , Tamil Nadu ,India",Tamil Nadu,"044-30103010,43439696,30103065",booking@himtmarine.com,https://www.himtmarine.com/
226,"Loyola-ICAM College of Engineering and Technology - [LICET], Chennai","Loyola College Campus , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,044-28178490,licet@licet.ac.in,http://www.licet.ac.in
227,"National Institute of Technical Teachers Training and Research - [NITTTR], Chennai","CSIR Road, Near Tidel Park, Taramani , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,"044-22545406,22545401,22545442,22545416",dir@nitttrc.ac.in,http://www.nitttrc.ac.in/
228,"RRASE College of Engineering, Chennai","Vanchuvancherry, Tambaram - Kancheepuram High Road, Padappai , Chennai - 601301 , Tamil Nadu ,India",Tamil Nadu,"044-27174753,27174754,9840860019,9962649150,9841247417",rrasecoe@gmail.com,http://rrase.com/
229,"Shri Andal Alagar College of Engineering - [SAACE], Chennai","No. 6. G.S.T. Road , Chennai - 603111 , Tamil Nadu ,India",Tamil Nadu,0442-7565662,"ull,""telephone",http://www.saace.net/
230,"Sri Krishna Engineering College - [SKEC], Chennai","Panapakkam, Near Padappai , Chennai - 601301 , Tamil Nadu ,India",Tamil Nadu,"044-27145503,27190026,Admission,-,9444864288",srikrishnaengg@sify.com,http://www.srikrishnacollege.com/
231,"Sri Krishna Institute of Technology - [SKIT], Chennai","Navaneedham Nagar,Panapakkam, Near Padappai , Chennai - 601301 , Tamil Nadu ,India",Tamil Nadu,"044-27145526,9244900840",info@srikrishnait.com,http://www.srikrishnait.com/
232,"Sri Sairam Engineering College, Chennai","Sai Leo Nagar, West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,044-22512222,sairam@sairam.edu.in,http://www.sairam.edu.in/
233,"Structural Engineering Research Centre, Chennai","CSIR Campus Taramani , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,"044-22542139,22542175,22542139,22549201","ull,""telephone",http://www.serc.res.in/
234,"Guru Shree Shanti Vijai Jain College for Women, Chennai","96,Vepery High Road , Chennai - 600007 , Tamil Nadu ,India",Tamil Nadu,044-25322257,gsscollege@eth.net,http://www.gssjcollege.in/index.asp
235,"International School of Business and Research - [ISBR Business School], Chennai","Samson Towers, Pantheon Road, Casa Major Road, Block No. 31, Egmore , Chennai - 600008 , Tamil Nadu ,India",Tamil Nadu,"044-32554744,9444334755,9380944610",infochennai@isbr.in,http://www.isbr.in/campuschennai.htm
236,"Bharathi Women's College - [BWC], Chennai","No.1, Prakasam, Salai Landmark: Near Stanley Hospital Broadway, George Town , Chennai - 600108 , Tamil Nadu ,India",Tamil Nadu,"044-25266411,Principal,Office,No.,-,25280720",principal@bwc.edu.in,http://www.bwcas.com/
237,"Institute for Ocean Management, Anna University - [IOM], Chennai","Kotturpuram , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,044-22200159,director_iom@yahoo.com,https://www.annauniv.edu/iom/home.htm
238,"Madras School of Economics - [MSE], Chennai","Gandhi Mandapam Road, Behind Government Data Center, Kotturpuram , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-22300304,22300307",info@mse.ac.in,http://www.mse.ac.in/
239,"TS Narayanaswami College of Arts and Science, Chennai","Thazhambur Road, Off Old Mahabalipuram Road, Navalur , Chennai - 600130 , Tamil Nadu ,India",Tamil Nadu,"044-27435046,27435047",principal@tsncollege.com,http://tsncollege.ac.in/
240,"The Institute of Mathematical Sciences - [IMSc], Chennai","IV Cross Road, CIT Campus, Taramani , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,"044-22543100,22541586,9585415570",director@imsc.res.in,http://www.imsc.res.in/
241,"The Quaide Milleth College for Men - [QMCMEN], Chennai","Tambaram - Velachery Main Road, Medavakkam , Chennai - 600100 , Tamil Nadu ,India",Tamil Nadu,"044-22771202,22771819",daycollege@qmcmen.com,http://www.qmcmen.com/
242,"All India Institute of Management Studies - [AIIMAS], Chennai","55, (Old No: 29), Lazarus Church Road, R.A.Puram , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-24956036,9840137982",aiimas@rediffmail.com,http://www.aiimas.com/
243,"Amity Global Business School - [AGBS], Chennai","25- B, Steeple Reach, Cathedral Road, Gopalapuram , Chennai - 600086 , Tamil Nadu ,India",Tamil Nadu,"7358299221,9500116342,9840615168,9840615168,9500116342,7358299221",info@chn.amity.edu,http://chennai.agbs.in/
244,"Asan Institute of Management - [AIM], Chennai","1/176, Bharathiyar Salai,,Velachery - Tambaram Road, Jaladampet , Chennai - 600100 , Tamil Nadu ,India",Tamil Nadu,"044,-22460138,-,044,-22460138,22461418,22460216,9840739451",director.aim@asaneducation.com,http://asaneducation.com
245,"Indian Institute of International Business - [IIIB], Chennai","Unity Flats, Flat NO:17, NO. 5 Puliyur, First Lane, Trustpuram, Kodambakkam , Chennai - 600024 , Tamil Nadu ,India",Tamil Nadu,"9444755051,9444837393",iiib_2002@yahoo.co.in,http://www.iiib.net
246,"Madras School of Social Work - [MSSW], Chennai","32, CASA Major Road Egmore , Chennai - 600002 , Tamil Nadu ,India",Tamil Nadu,"044,28192824,28195126",principal@mssw.in,http://www.mssw.in
247,"St Marys School of Management Studies, Chennai","Jeppiaar Nagar, Rajiv Gandhi Road , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,044-24501065,principal@stmarys.co.in,http://www.stmarys.co.in
248,"St Peter's Institute of Distance Education, Chennai","Avadi , Chennai - 600054 , Tamil Nadu ,India",Tamil Nadu,"044-26558080,26558081",spiher@stpetersuniversity.org,http://www.stpetersuniversity.org/cde/index.php
249,"Ansaldo College of Education, Chennai","Maruthuvampadi , Chennai - 606801 , Tamil Nadu ,India",Tamil Nadu,"04181-,252492",admin@ansaldobed.org,http://www.ansaldobed.org/
250,"Cosmopolitan College of Education, Chennai","Sengadu, Sengadu (Post), Manavala Nagar(Via), Sriperumbadur (TK) Kanchipuram (Dist) , Chennai - 602106 , Tamil Nadu ,India",Tamil Nadu,"044-27608014,27608015",cosmo10819@gmail.com,http://www.cosmopolitancollegeofeducation.com/contactus.html
251,"Gojan College of Teacher Education, Chennai","80, Feet Road, Edapalayam (Alamathi) Red Hills Tiruvellore Road , Chennai - 600052 , Tamil Nadu ,India",Tamil Nadu,"044-26311043,263,1008,9444952844,9444025188,8939787123",nrajan99@gmail.com,http://www.teachereducation.gojaneducation.com/
252,"Jayalakshmi Narayanaswamy College of Education, Chennai","74/48, Bajanai Kovil Street , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,0442-2351656,sanjithakishore@gmail.com,http://jnceducation.in
253,"Loyola College of Education, Chennai","Sterling Road, Nungambakkam, Near Nungambakkam Railway Station , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,0442-8178200,lcoechennai@gmail.com,http://loyolacollegeofeducation.in
254,"MERF Institute of Speech and Hearing - [MERF ISH], Chennai","Old No. 1 /1 , New No. 1, South Canal Bank Road, Mandavelipakkam , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-24939143,24622403",merf_ish@yahoo.com,http://www.merfish.org
255,"N. K. T. National College of Education for Women, Chennai","No. 21, Dr. Besant Road Triplicane , Chennai - 600005 , Tamil Nadu ,India",Tamil Nadu,044-28445924,nktnce@yahoo.co.in,http://www.nktnce.ac.in
256,"Sir Muthukumaran College of Education, Chennai","Chikkarayapuram (Near Mangadu) , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044-2480,2422,2484,5399,9282199114,9789991114",smce@smce-education.com,http://www.smce.edu.in
257,"Suraj Teacher Training Instiute for Women, Chennai","17/22 veerappan street Vijay complex Sowcar pet , Chennai - 600079 , Tamil Nadu ,India",Tamil Nadu,"044-25368060,9884066066",surajchetpet@gmail.com,http://surajschools.com/Institute.html
258,"Alagappa Institute of Technology - [AIT], Chennai","#49, Gangadeeswarar Koil Street , Chennai - 600084 , Tamil Nadu ,India",Tamil Nadu,044-42174904,info@aiitech.com,http://www.aiitech.com/
259,"Global Institute of Gaming and Animation - [GIGA], Chennai","ALM BUILDING, #28,Venkatakrishna Road, Mandaveli , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-42631883,9841032328",gigaanimationcollege@gmail.com,http://www.giga.ac.in
260,"Hindustan College of Arts and Science, Chennai","Rajiv Gandhi Salai (OMR), Kelambakkam, Padur , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-24469714,24469715",hcaspadur@yahoo.co.in,http://www.hcaschennai.com/
261,"Novell Soft Technologies, Chennai","No 1,C.V.R Complex, Singaravelu Street, Pondy Bazar, T.Nagar , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-64616166,9884000267",info@novellsoft.in,http://www.novellsoft.in
262,"Tamil Nadu Physical Education and Sports University - [TNPESU], Chennai","Melakottaiyur , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044-27477300,27477900,27477905",tnpesu@rediffmail.com,http://www.tnpesu.org/
263,"Hindustan Institute of Engineering Technology - [HIET], Chennai","Navalur Road, Vellarithangal Village,,Serapanancheri  , Chennai - 600016 , Tamil Nadu ,India",Tamil Nadu,"18004254438,044–22341389,22342508,044-66626662",principal@hiet.in,http://www.hiet.in/
264,"ASAN Memorial Educational Institutions, Chennai","Cochin House, #1 Anderson Road , Chennai - 600006 , Tamil Nadu ,India",Tamil Nadu,"044-43084848,28214256",info@asaneducation.com,http://www.asaneducation.com
265,"Jaya Group of Intitutions, Chennai","CTH Road, Thiruninravur , Chennai - 602024 , Tamil Nadu ,India",Tamil Nadu,"044-26390982,26390682",prof.akraj@yahoo.com,http://www.jayagc.org
266,"Meenakshi Sundararajan School of Management, Chennai","363, Arcot Road, Kodambakkam , Chennai - 600024 , Tamil Nadu ,India",Tamil Nadu,"044-24802591,24812488",contact@mssmpgdm.in,http://www.mssmmba.com/
267,"National Institute of Business Management, Chennai","A Unit of Kingster Education Pvt Ltd No-5, 1st Main Road, Kamaraj Nagar West, Thiruvanmiyur , Chennai - 600041 , Tamil Nadu ,India",Tamil Nadu,"044-65651502,65553054,24430800",info@nibmglobal.com,http://www.nibmglobal.com/
268,"PERI Institute of Technology - [PERIT], Chennai","No 1, Near West Tambaram, Mannivakkam , Chennai - 600048 , Tamil Nadu ,India",Tamil Nadu,"044-22751801,General,Enquiries:,-,66813333,Admission,Enquiries:,-,9677130343,9677130344,9677130347",principal@periit.com,http://www.periit.com
269,"International Maritime Academy - [IMA], Chennai","No. 41, Jamin Korattur, Pudhuchatram, (From Poonamallee to Tirupathi Highway Road) , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-26810940,26810950",imaadmission@gmail.com,http://www.imauniv.in/
270,"Indian Statistical Institute - [ISI], Chennai","SETS (Society for Electronic Transactions and security), MGR Knowledge City, CIT Campus, Taramani, (Landmark: Near IITM Research Park/ Ginger Hotel) , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,044-66632507,officeisi@isichennai.res.in,http://www.isichennai.res.in/
271,"Madras Institute of Development Studies -[MIDS], Chennai","2nd Main Road, Gandhi Nagar , Chennai - 600020 , Tamil Nadu ,India",Tamil Nadu,0442-441258,chairperson@mids.ac.in,http://www.mids.ac.in/
272,"Vel Tech Dr. RR & Dr. SR University - [VelTech University], Chennai","400 feet Outer Ring Road, Avadi , Chennai - 600062 , Tamil Nadu ,India",Tamil Nadu,180030706949,admission@vel-tech.org,http://www.veltechuniv.edu.in/
273,"Anna University, Centre for Distance Education, Chennai","Kotturpuram , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-22357216,22357221,64502508",distanceprog@annauniv.edu,http://cde.annauniv.edu/Default.aspx
274,"C.Kandaswami Naidu College, Chennai","No:E7 , III Avenue Annanagar East, , Chennai - 600102 , Tamil Nadu ,India",Tamil Nadu,044-26262970,ckncprincipal@gmail.com,http://www.cknc.edu.in/
275,"Omayal Achi College Of Nursing, Puzhal - [OACN], Chennai","#45, Ambattur Road,  Puzhal , Chennai - 600066 , Tamil Nadu ,India",Tamil Nadu,"044-26591617,26591618",oacn1992@gmail.com,http://www.omayaln.com/
276,"Cancer Institute (W.I.A.) Adyar, Chennai","Cancer Institute, Sardar Patel Road, Adyar, , Chennai - 600020 , Tamil Nadu ,India",Tamil Nadu,044-22209150,"ull,""telephone",http://cancerinstitutewia.in/CIWIA/coursesoffered.html
277,"Anna Adarsh College for Women, Chennai","A-1, II Street, Off 9th Main Road, Anna Nagar , Chennai - 600040 , Tamil Nadu ,India",Tamil Nadu,044-26212089,annaadarsh@rediffmail.com,http://www.annaadarsh.edu.in/
278,"Mar Gregorious College, Chennai","Block No. 8, J.J. Nagar West, Mogappair West , Chennai - 600037 , Tamil Nadu ,India",Tamil Nadu,"044-26530978,26533140",enquiry@margregorioscollege.net,http://www.margregorioscollege.net
279,"K.C.S. Kasi Nadar College of Arts and Science, Chennai","Ellaya Street, R.K.Nagar,Chennai , Chennai - 600021 , Tamil Nadu ,India",Tamil Nadu,"044,-,25974498,25974499,65876767",principal@kcskasinadarcollege.in,http://www.kcskasinadarcollege.in/
280,"P M R Engineering College, Adayalampattu, Chennai","Adayalampattu, Vanagaram, , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,"044-26162640,65155925",director.admissions@pmrengg.org,http://www.pmrec.ac.in/
281,"K. K. College of Pharmacy, Chennai","KRA Campus,Gerugambakkam,Chennai , Chennai - 600122 , Tamil Nadu ,India",Tamil Nadu,"044,-,23821272,32546162,9443766611,9481259415",kkcpchennai@gmail.com,http://www.kkcp.ac.in/
282,"MEASI Institute of Management Royapettah, Chennai","No.87, Peters Road, Royapettah , Chennai - 600014 , Tamil Nadu ,India",Tamil Nadu,"044-28351050,Director,-,28352975,Office,-,28352982,Office,-,9894693613,Director,-,9444281144",measimim@yahoo.in,http://measimba.ac.in
283,"ESIC Medical College and PGIMSR, Chennai","Ashok Pillar Road, KK Nagar , Chennai - 600078 , Tamil Nadu ,India",Tamil Nadu,"044-24748959,9841076231",deanesipgimsr@gmail.com,http://www.esicmcpgimsrchennai.ac.in/
284,"Apollo College of Nursing - [ACN], Chennai","Vanagaram to Ambattur Main Road, Ayanambakkam , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,"044-26534387,26534386",apollocollegeofnursing@gmail.com,http://www.apollohospitalseducation.com/college/
285,"Dr. K. M. Cherian Heart Foundation, Chennai","R 30 C, Ambattur Industrial Estate Road, Mogappair , Chennai - 600101 , Tamil Nadu ,India",Tamil Nadu,"044-26564224,42017575",resumes@frontierlifeline.com,http://www.frontierlifeline.com/
286,"White Memorial Educational Society, College Of Physiotherapy, Chennai","395, Sarojini Naidu Road, Siddhapudur , Chennai - 641044 , Tamil Nadu ,India",Tamil Nadu,"0422-4500193,2247756","ull,""telephone",http://www.sripmsphysiotherapy.com/
287,"Natesan Institute of Co-operative Management - [NICM], Chennai","2377 A, Anna Nagar West , Chennai - 600040 , Tamil Nadu ,India",Tamil Nadu,"12th,Main,Road,044-26211423,26211398,26210423",nicmchennai1954@gmail.com,http://www.nicmchennai.in/
288,"Madras Medical College, College Of Nursing, Chennai","E.V.R Periyar Salai, Park Town , Chennai - 600003 , Tamil Nadu ,India",Tamil Nadu,"044-25363970,044-25305000",deanmmc@tn.gov.in,http://www.mmc.tn.gov.in
289,"Right College Of Nursing Vanagaram, Chennai","No. 1/5, Chettiyar Agaram Road, Siva Bootham Village, Vanagaram , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,"12th,Main,Road,044-24762415,64993422,Administrative,Office,-,26209326",info@rightnursing.com,http://rightnursing.com/index.htm
290,"National Institute for Empowerment of Persons with Multiple Disabilities - [NIEPMD], Chennai","East Coast Road, Muttukadu, Kovalam , Chennai - 603112 , Tamil Nadu ,India",Tamil Nadu,"044-27472113,27472046",niepmd@gmail.com,http://niepmd.tn.nic.in
291,"National Institute of Management Studies Karapakkam - [NIMS], Chennai","KCG Nagar, Rajiv Gandhi Salai, Karapakkam , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"044-65384011,22341389,22342508",hetc@vsnl.com,http://www.nimschennai.com
292,"Shri Shankarlal Sundarbai Shasun Jain College for Women, Chennai","No.3,  Madley Road, T-Nagar , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-24328506,42868246",info@shasuncollege.edu.in,http://www.shasuncollege.edu.in/
293,"Sindhi College of Arts and Science, Chennai","146, Poonamallee High road, Near Thiruverkadu Temple Arch, Numbal , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26800199,65319541",office@sindhicollege.in,http://sindhicollege.in/
294,"Sir Theagaraya College, Chennai","1047 / 345, T.H, Old Washermanpet, P.B.No : 1154 , Chennai - 600021 , Tamil Nadu ,India",Tamil Nadu,"044-25951300,25983421","ull,""telephone",http://www.sirtheagarayacollege.com/
295,"Government Unani Medical College, Chennai","Aringar Anna Government Hospital of  , Chennai - 600106 , Tamil Nadu ,India",Tamil Nadu,"044,-,26222641,98404,54821",gumcchennai@gmail.com,http://gumcchennai.com/
296,"Sivanthi Aditanar College, Pillayarpuram, Chennai","Sivanthi Aditanar College,Pillayarpuram, Nagercoil , Chennai - 629501 , Tamil Nadu ,India",Tamil Nadu,0465-2287251,"ull,""telephone",http://www.sivanthi-ngl.org/
297,"Prince Shri Venkateshwara Arts and Science College, Gowrivakkam  - [PSVASC], Chennai","Venkateshwara Nagar, Gowrivakkam , Chennai - 601302 , Tamil Nadu ,India",Tamil Nadu,"044,22780755",princesvc@yahoo.co.in,http://princescience.in/
298,"Liberty Institute of Radiology and Paramedical Research Centre, Chennai","Alwarpet, Chennai , Chennai - 600018 , Tamil Nadu ,India",Tamil Nadu,"044,24346665,24349995",libertyscans@gmail.com,http://www.libertyscans.in/
299,"Prof Dhanapalan College of Art and science, Kelambakkam,, Chennai","Old Mahabalipuram road, Kelambakkam, , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-27474247,27474718",dhanapalancollege@gmail.com,http://www.dhanapalancollege.com/
300,"Nichi-In Centre For Regenerative Medicine Nungambakkam - [NCRM], Chennai","C30, III Fl., LICET, Loyola College Campus, Nungambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28174743,64549484",ncrm@nichimail.jp,http://www.ncrm.org
301,"Sharmila College Of Nursing, Chennai","No.1, 7th Avenue, Besant Nagar , Chennai - 600090 , Tamil Nadu ,India",Tamil Nadu,"044-4908800,4908801,4908802,4908803","ull,""telephone",http://www.sharmilacollege.com/
302,"Shenbagha College of Nursing, Chennai","No.1, Mettu street, Mathiravedu,Nearby to Sri Devi Karumariamman koil, Thiruverkadu , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26800129,26631020,9382801646,9094916711","ull,""telephone",http://www.shenbaghacollegeofnursing.org/
303,"Sree Muthukumaraswamy College, Chennai","Plot No. 92/1&9, 8th Block, Muthamizh Nagar, Kodungaiyur , Chennai - 600118 , Tamil Nadu ,India",Tamil Nadu,"044-25544574,25544577","ull,""telephone",http://www.sreemuthukumaraswamycollege.com
304,"International Centre For Cardio-Thoracic and Vascular Diseases, Chennai","R-30C, Ambattur Industrial Estate Road, , Chennai - 600101 , Tamil Nadu ,India",Tamil Nadu,"044-26564224,42017575,26564260,26564260",drkmc@frontierlifeline.com,http://www.frontierlifeline.com/
305,"M A Chidambaram College of Nursing, Chennai","TTTI Post,Chennai , Chennai - 600113 , Tamil Nadu ,India",Tamil Nadu,"044,-,22541476,22541176,22542696",macednfdn@gmail.com\ufeff,http://www.macnursing.org/index.html
306,"Srinivasa Institute of Engineering & Technology, Chennai","Parivakkam, Bypass Rd, Poonamallee , Chennai - 600056 , Tamil Nadu ,India",Tamil Nadu,"044-2649252,26493505,26492227",sietengg@hotmail.com,http://www.siet.edu.in/aboutus.html
307,"Sriram College of Arts and Science, Chennai","Perumalpattu,Veppampattu [R.S], Thiruvallur District , Chennai - 602024 , Tamil Nadu ,India",Tamil Nadu,"044-27689181,9940433101",principalsrcas@gmail.com,http://sriramcas.edu.in/
308,"Madha College of Nursing, Chennai","Kunrathur, Chennai , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044,24780736,24780798","ull,""telephone",http://www.madhacollegeofnursing.com/
309,"Rajalakshmi College of Nursing - [RCN], Chennai","Rajalakshmi Nagar, Thandalam , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-37108080,Office,-,26442476",rcnprincipal@rajalakshmi.edu.in,http://www.rajalakshmi.org/rcn/
310,"Kanchi Kamakoti Childs Trust Hospital  - [KKCTH], Chennai","Nungambakkam, Chennai , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044,-,42001800",info@kkcth.org,http://www.kkcth.org/
311,"Rajalakshmi Engineering College - [REC], Chennai","Rajalakshmi Nagar, Thandalam , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-37181111,Office,-,26461316,37181112,Principal,-,37181001",admin@rajalakshmi.edu.in,http://www.rajalakshmi.org/
312,"St. Isabels College Of Nursing - [SISN], Chennai","49, Oliver Road,  Luz Mylapore , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,"044-24661707,24991081,24991082,24991083",stisabelsson@gmail.com,http://www.stisabelscon.org/index.html
313,"M.N. College of Optometry, Chennai","Tondiarpet , Chennai , Chennai - 600021 , Tamil Nadu ,India",Tamil Nadu,"044,-,25986676,25953594",mncollegeopto@yahoo.co.in,http://www.mncollegeopto.com/
314,"Jawahar Engineering College, Chennai","Sabarmati 54, KK Road, Kaverirangan Nagar , Chennai - 600093 , Tamil Nadu ,India",Tamil Nadu,"044,2376,3281,09042027183",asnagent@gmail.com,http://jecchennai.in/
315,"Jaya Suriya Engineering College, Chennai","Redhills – Thiruvallur High Road,,Koduveli , Chennai - 600055 , Tamil Nadu ,India",Tamil Nadu,"044-27680286,27680288,65681139,9444371440,9444805440,9445614492",jayasuriyaengg@gmail.com,http://jayasuriyaengineering.com/
316,"St. Anne's Arts and Science College, Chennai","G.N.T Road,  Ponniammanmedu, Madavaram , Chennai - 600110 , Tamil Nadu ,India",Tamil Nadu,"044-32003135,8939225839",ssacollegechennai@gmail.com,http://www.ssacollegechennai.com/
317,"Madha College of Physiotherapy, Chennai","Somangalam Road, Kundrathur, Chennai , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044,-,24780732,24780734","ull,""telephone",http://www.madhacollegeofphysiotherapy.com/
318,"Vasan Institute Of Ophthalmology & Research, Chennai","120A Bazar Road, Saidapet , Chennai - 600015 , Tamil Nadu ,India",Tamil Nadu,"044–43400950,39890950,43400000,9585548908",vior.chennai@vasaneye.in,http://www.vasaneye.in/vior.asp
319,"Madha Arts and Science College, Chennai","Erandamkattalai, Sadhanandhapuram,Thandalam Post , Chennai - 600112 , Tamil Nadu ,India",Tamil Nadu,"044,-,29310091",madhaasc@gmail.com,http://www.madhaartsandscience.com/
320,"Madha Dental College and Hospital, Chennai","Somangalam Road,Kundrathur, Chennai , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044,-,24780732,24780734,24780798",contactus@madhagroup.org,http://www.madhadentalcollege.com/
321,"R.B Gothi Jain College for Women, Pulliline, Chennai","NO.13, Sothupukkam Darkarsh Road, Pulliline, Redhills , Chennai - 600052 , Tamil Nadu ,India",Tamil Nadu,"044-64502022,64503033",rbgothi.jaincollege@yahoo.com,http://www.rbgjaincollege.in/
322,"Sri Venkateswara Dental College And Hospital, Chennai","Off.Old Mahabalipuram Road, Near Navalur , Chennai - 600130 , Tamil Nadu ,India",Tamil Nadu,"044,-,2743,5061,2743,5060,94441,18641,98404,53005",info@svdentalcollege.com,http://www.svdentalcollege.com/
323,"Venkateswara Homoeothic Medical College Porur, Chennai","No.4/11, Samayapuram Main Road, Karambakkam, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-24760638,24763676",vhmc2000@yahoo.com,http://www.venkathomoeo.org/
324,"Sri Krishnaswamy College for Women, Chennai","AC-48, 6th Main Road, Shanthi Colony, Anna Nagar West , Chennai - 600040 , Tamil Nadu ,India",Tamil Nadu,"044-26262977,26282977",skcw2010@gmail.com,http://www.shrikrishnaswamycollegeforwomen.com/
325,"Venkateswara Hospitals Chennai, Chennai","36 - A, Chamiers Road, Nandanam , Chennai - 600035 , Tamil Nadu ,India",Tamil Nadu,"044-45111111,45114511",info@vhospitals.com,http://www.vhospitals.com
326,"Sri Venkateswaraa College of Technology, Chennai","Vadakal Village, Pondur Post, Sriperumbudur Taluk , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-2710,7719,27107699,30139431,30139432,30139433,30139434",svct2009@gmail.com,http://www.svct.in/
327,"Venkateswara Nursing College, Chennai","Off.Old Mahabalipuram Road, Near Navalur, Thalambur , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-32537098,27435060",info@venkateswaranursing.ac.in,http://www.venkateswaranursing.ac.in
328,"Scansworld Education and Research Institute - [SERI], Chennai","20, Rama Street, Opp Valluvarkottam high Road, Nungambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-40000008,9791007777",scansworldedu@gmail.com,http://www.scansworld.in/education.php
329,"Sri Sai Ram Medical College, Chennai","West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22512010,22512020,22512030","ull,""telephone",http://www.saimedical.com/
330,"Sri Sairam Ayurveda Medical College And Research Centre, Chennai","Sai Leo Nagar, Poonthandalam, West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22512040,044–22512121,09444960308",principal.ayur@saimedical.com,http://sairamayur.edu.in/
331,"Vijaya Educational Academy, Chennai","Vijaya Hospital: No.434, N.S.K.Salai, Vadapalani , Chennai - 600026 , Tamil Nadu ,India",Tamil Nadu,044-66646600,edu@vijayahospital.org,http://www.vijayahospital.org/vijaya-academics.php
332,"The Sankara Nethralaya Academy, Chennai","Vanagaram Road, Ayanambakkam. , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,"044,-,4908,6000",snacademy@snmail.org,http://www.thesnacademy.ac.in/
333,"Tamil Nadu Dr Ambedkar Law University, Distance Education, Chennai","Poompozhil"", 5, Dr. D.G.S. Dinakaran Salai, , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044–24641212,24641919",registrar@tndalu.ac.in,http://www.tndalu.ac.in/
334,"SSN School of Management - [SOM], Chennai","Old Mahabalipuram Road, Kalavakkam , Chennai - 603110 , Tamil Nadu ,India",Tamil Nadu,"044-27469700,27469774",mba.admissions@ssn.edu.in,http://www.ssn.edu.in/
